parcel_id,building_no,Total Rooms,Year Built,Building SF,Energy Adj,Roughins,Bedrooms,Effect Age,Quality,Bsmt Wall,Plumb Fixt,Full Baths,Condition,Style,Bsmt SF,Fireplaces,Half Baths,Phys Depr,Design,Bsmt Fin,Porch,Kitchens,Funct Depr,Bldg Type,Bsmt Fin SF,Gar/Shed,Econ Depr,Notes
0010001,1,6,1850,1664.00,Average,1,3,90,3.50,Stone,5,1,Poor,1.5 Fin,308,,,70,1.5 Sty,1,156,1,,Single,,,,
0010002,1,5,1870,3292.00,Average,1,2,70,4.00,Conc 8in,10,2,Avg/Good,1.5 Fin,400,2,1,32,1.5 Sty,6,275,1,,Single,,,,
0010003,1,7,1900,1611.00,Average,1,2,50,4.50,Conc 8in,8,2,Good,1.5 Fin,969,,,20,CapeCod,4,248,1,,Single,769,,,
0010004,1,5,1900,1840.00,Average,1,1,60,3.50,WoodFrame,7,1,Fair/Avg,2 Story,920,,1,43,Colonial,,320,1,,Single,,,,
0010004,2,4,1900,1140.00,Average,1,3,60,3.25,Blk 8in,8,2,Fair/Avg,1.5 Fin,720,,,43,CapeCod,6,361,1,5,Single,,,,
0010006,1,7,1870,2026.00,Average,1,4,60,4.25,Stone,8,2,Good,1.5 Fin,1070,,,24,Colonial,1,604,1,,Single,,270,,
0010007,1,9,1880,3338.00,Good,2,3,60,4.50,Conc 8in,10,2,Good,1.5 Fin,625,,,24,Colonial,1,339,2,,Single,,,,
0010008,1,9,1880,2594.00,Average,1,4,60,4.50,Conc 8in,10,2,Good,1.5 Fin,896,1,1,24,Contemp,,298,1,,Single,,589,,
001000801,1,9,1850,2230.00,Average,1,3,70,4.25,Stone,12,2,Good,1.5 Fin,825,,2,28,CapeCod,1,125,1,,Single,,608,,
0010009,1,4,1920,936.00,Average,1,2,60,3.00,No Data,5,1,Average,1.5 Fin,,,,35,Contemp,,,1,,Single,,,,
001001,1,5,1970,1469.00,Average,1,3,56,3.00,Conc 8in,7,1,Avg/Good,1 Story,1128,,1,26,Modular,1,144,1,,Single,,,,
0010011,1,,,,No Data,,,,,No Data,,,No Data | Sketch not available.,No Data,,,,,No Data,,,,,No Data,,,,
001001101,1,5,1982,2396.00,Average,1,3,44,3.25,Conc 8in,10,2,Avg/Good,1 Story,1352,2,1,22,Modular,4,862,1,,Single,1152,672,,
0010012,1,8,1900,1609.00,Average,1,3,70,3.50,Stone,5,1,Avg/Good,1.5 Fin,720,,,32,CapeCod,1,,1,,Single,,,,
0010014,1,6,1880,1736.00,Average,1,4,70,3.50,Stone,10,2,Average,1.5 Fin,504,,1,40,CapeCod,6,,1,,Single,,168,,
0010015,1,5,1991,1080.00,Average,1,3,35,3.00,No Data,8,2,Salvage,1 Story,,,,98,No Data,,,,,Mobile,,,,
0010016,1,4,1969,1085.00,Average,1,2,20,3.50,Blk 8in,8,2,Average,1 Story,504,,,17,Ranch,1,262,1,,Single,,,,
0010017,1,4,2014,1352.00,Average,1,3,12,3.00,No Data,5,1,Average,1 Story,,,,17,DblWide,,220,1,,Mobile,,,,
001001701,1,6,1990,1404.00,Average,1,3,36,3.00,No Data,8,2,Average,1 Story,,,,41,DblWide,,168,1,,Mobile,,,,
0010019,1,3,1997,1680.00,Average,1,2,29,2.00,Conc 8in,5,1,Salvage,1 Story,1680,,,96,MobileHome,1,187,,,Mobile,,,,
001002,1,9,1900,2631.00,Average,1,5,70,3.50,Stone,13,3,Fair/Avg,1.5 Fin,1092,1,,47,1.5 Sty,6,702,2,,Single,,,,
